symbol,date,price
Spanish,Dec 1850,45871359.0
Spanish,Dec 1851,53328379.0
Spanish,Dec 1852,47419413.0
Spanish,Dec 1853,41855112.0
Spanish,Dec 1854,40154362.0
Spanish,Dec 1855,43819130.0
Spanish,Dec 1856,49579310.0
Spanish,Dec 1857,55593229.0
Spanish,Dec 1858,51145836.0
Spanish,Dec 1859,55139219.0
Spanish,Dec 1860,55538680.0
Spanish,Dec 1861,69223562.0
Spanish,Dec 1862,62567935.0
Spanish,Dec 1863,60338328.0
Spanish,Dec 1864,60477103.0
Spanish,Dec 1865,63505726.0
Spanish,Dec 1866,60601973.0
Spanish,Dec 1867,70147062.0
Spanish,Dec 1868,38432940.0
Spanish,Dec 1869,43728625.0
Spanish,Dec 1870,41010289.0
Spanish,Dec 1871,46294097.0
Spanish,Dec 1872,42398995.0
Spanish,Dec 1873,37742822.0
Spanish,Dec 1874,42250241.0
Spanish,Dec 1875,57046541.0
Spanish,Dec 1876,61772686.0
Spanish,Dec 1877,49111328.0
Spanish,Dec 1878,57798847.0
Spanish,Dec 1879,52683898.0
Spanish,Dec 1880,62137031.0
Spanish,Dec 1881,61277939.0
Spanish,Dec 1882,56985274.0
Spanish,Dec 1883,66188847.0
Spanish,Dec 1884,72329703.0
Spanish,Dec 1885,65531515.0
Spanish,Dec 1886,70147798.0
Spanish,Dec 1887,69004654.0
Spanish,Dec 1888,77497964.0
Spanish,Dec 1889,93620407.0
Spanish,Dec 1890,79624768.0
Spanish,Dec 1891,67813992.0
Spanish,Dec 1892,75329831.0
Spanish,Dec 1893,57833839.0
Spanish,Dec 1894,65152271.0
Spanish,Dec 1895,64107579.0
Spanish,Dec 1896,71924914.0
Spanish,Dec 1897,72263884.0
Spanish,Dec 1898,61601025.0
Spanish,Dec 1899,83732308.0
Spanish,Dec 1900,87143023.0
Spanish,Dec 1901,89232728.0
Spanish,Dec 1902,93782239.0
Spanish,Dec 1903,94178877.0
Spanish,Dec 1904,82677342.0
Spanish,Dec 1905,93283450.0
