date,English,French,Spanish,Russian,German,Chinese,Hebrew
2000,8184220292,697260168,1061477460,439641047,557978806,542876654,84145271
1999,6894574035,482503013,969757838,396912668,404272454,519475395,69182714
1998,6502935387,429953667,942589913,333183025,320657504,532257012,57365717
1997,6073782805,411618485,924859553,320926350,335254364,446327292,59737251
1996,5935362941,365867416,766107431,310216223,359707813,458169841,58483430
1995,5411660513,367280339,702577716,353182938,397639895,422697623,54805549
1994,5103607036,357351177,712531127,397546790,362328863,528860382,25595453
1993,4743032944,365295307,680786766,375242527,354038170,555393451,32200343
1992,4717902147,354278818,744859166,358483815,313361071,488817853,53999690
1991,4381722431,324819634,659411153,459863617,345108396,477340033,40835257
1990,4564250434,333968836,666961129,711334148,366859223,456945810,39777300
1989,4205870329,356258470,716096880,760336137,367359122,527682354,37671371
1988,4080580336,313301424,742742797,730775704,378587370,600079092,42242808
1987,3911960641,295726924,598926418,712859293,341863988,547202099,33376148
1986,3858414258,288226363,629696732,667441675,355223341,479772065,30869411
1985,3690136367,305951715,616111012,681287011,359667506,498835528,31971749
1984,3675372571,323667508,597297634,645834821,401336536,428389208,33335123
1983,3420324148,296839571,616049342,632282096,441301961,361012475,30292657
1982,3284501847,305182333,590499967,625928498,447761450,317219537,39130421
1981,3133047109,284134490,579734704,615175750,443142831,277705405,35647548
1980,3254366520,355495371,640548432,661170178,465001733,201205796,49584830
1979,3263010248,319448448,631305274,667981172,467474666,157781913,42439445
1978,3115743638,306680377,606838511,719484901,440458382,68881357,38275656
1977,3120159031,323606843,606444454,710709995,456488714,40825845,38732780
1976,3105793102,311608478,600071164,690592684,407148822,24505099,39946240
1975,3010625478,297842838,585034523,650423656,418578790,31089039,46725265
1974,2941503415,293998865,541707051,602221544,394984169,23082498,27241256
1973,3020839945,290040502,531664776,598776810,372948935,22012116,34256727
1972,3114971448,286824349,468378613,516856313,370399347,17878855,35765955
1971,3053767186,291729276,452073903,507482466,367778618,7852551,52080912
1970,3232293798,346050845,431866317,606342942,375126054,5760897,41736689
1969,3129567589,359413225,418152696,637697580,366491740,6484193,47649718
1968,3330546737,382399920,426709963,625358729,362946588,3628261,51039138
1967,3106860688,333058373,400735289,669049012,347388755,4234454,62363741
1966,2911802327,286595560,412441824,624075390,304018215,9813066,63397586
1965,2829809493,265451634,366343345,655535229,295456457,17546055,53708037
1964,2452549636,252645697,370829028,600684058,274008303,20566294,37871170
1963,2633879065,257492806,383222535,706956930,282313043,26817908,28784692
1962,2501301402,276322965,386969673,674908069,282378993,22822105,24931861
1961,2304135930,252710141,361116175,660559957,266998907,9894843,28576045
1960,2161946184,246812172,379116289,647146803,233502281,12893803,31750540
1959,1826583891,224810655,285364254,557432686,218232142,27856389,24721727
1958,1786783468,190825671,280775678,466060343,218526286,31149984,26580800
1957,1713740076,170748278,298941704,419478229,195995597,33408351,20154307
1956,1612180407,171077896,321508029,399270286,175189285,38074634,18834570
1955,1550876393,165844143,276486227,337299143,166208662,7405826,20084578
1954,1470743400,153639784,244138299,248707714,153967933,1484527,22642010
1953,1425536202,150775507,261331415,223783230,142433401,1370328,14453533
1952,1483448222,138774489,244447941,224513425,135887346,1626667,12415595
1951,1421682778,135643350,203608112,209429109,130604942,1269985,12538383
1950,1483665211,160919759,239094929,197645238,129406199,1359277,16217343
1949,1435313670,143718210,216290796,169809949,131175963,3334327,11744543
1948,1318184735,150452312,209378387,182508938,107222853,363137,10389258
1947,1268248203,168847410,221243174,152912431,94098253,513208,12286546
1946,1056582202,145999115,277471413,120258947,68070073,260608,12249475
1945,804136036,107411947,263705543,59007540,48633796,47480,8780389
1944,709200138,81987036,218877267,43249810,63297515,67896,5300164
1943,786554945,71404006,180968377,25619468,97453844,101931,6055222
1942,902938239,61286366,174377615,19222629,81297327,61681,5494348
1941,904688774,65812077,171058147,82298788,83523456,211460,4893998
1940,967096233,69217251,166289052,99587045,87400778,171858,4600652
