name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Cultural,158,fell,2003,http://whc.unesco.org/en/list/?&delisted=1,34.84694,67.82525,208,56:02.8,11:51.9,1/1/2003,67.82525,34.84694,{"type":"Point","coordinates":[67.82525,34.84694]} 
Minaret and Archaeological Remains of Jam,Cultural,70,fell,2002,http://whc.unesco.org/en/list/?&delisted=1,34.39655556,64.51605556,211,56:02.8,11:51.9,1/1/2002,64.51605556,34.39655556,{"type":"Point","coordinates":[64.51605556,34.39655556]} 
Historic Centres of Berat and Gjirokastra ,Cultural,58,fell,2005,http://whc.unesco.org/en/list/?&delisted=1,40.06944444,20.13333333,569,56:02.8,11:51.9,1/1/2005,20.13333333,40.06944444,{"type":"Point","coordinates":[20.13333333,40.06944444]} 
Butrint,Cultural,1,fell,1992,http://whc.unesco.org/en/list/?&delisted=1,39.75111111,20.02611111,570,56:02.8,11:51.9,1/1/1992,20.02611111,39.75111111,{"type":"Point","coordinates":[20.02611111,39.75111111]} 
Al Qala of Beni Hammad,Cultural,150,fell,1980,http://whc.unesco.org/en/list/?&delisted=1,35.81844,4.78684,102,56:02.8,11:51.9,1/1/1980,4.78684,35.81844,{"type":"Point","coordinates":[4.78684,35.81844]} 
MZab Valley,Cultural,665,fell,1982,http://whc.unesco.org/en/list/?&delisted=1,32.48333,3.68333,188,56:02.8,11:51.9,1/1/1982,3.68333,32.48333,{"type":"Point","coordinates":[3.68333,32.48333]} 
Djémila,Cultural,30,fell,1982,http://whc.unesco.org/en/list/?&delisted=1,36.32056,5.73667,191,56:02.8,11:51.9,1/1/1982,5.73667,36.32056,{"type":"Point","coordinates":[5.73667,36.32056]} 
Timgad,Cultural,90,fell,1982,http://whc.unesco.org/en/list/?&delisted=1,35.45,6.63333,194,56:02.8,11:51.9,1/1/1982,6.63333,35.45,{"type":"Point","coordinates":[6.63333,35.45]} 
Kasbah of Algiers,Cultural,60,fell,1992,http://whc.unesco.org/en/list/?&delisted=1,36.78333,3.06028,565,56:02.8,11:51.9,1/1/1992,3.06028,36.78333,{"type":"Point","coordinates":[3.06028,36.78333]} 
MadriuPerafitaClaror Valley,Cultural,4247,fell,2004,http://whc.unesco.org/en/list/?&delisted=1,42.49472222,1.595555556,1160,56:02.8,11:51.9,1/1/2004,1.595555556,42.49472222,{"type":"Point","coordinates":[1.595555556,42.49472222]} 
Los Glaciares National Park,Natural,726927,fell,1981,http://whc.unesco.org/en/list/?&delisted=1,-50,-73.24944,145,56:02.8,11:51.9,1/1/1981,-73.24944,-50,{"type":"Point","coordinates":[-73.24944,-50]} 
Iguazu National Park,Natural,55000,fell,1984,http://whc.unesco.org/en/list/?&delisted=1,-25.51805556,-54.13333333,303,56:02.8,11:51.9,1/1/1984,-54.13333333,-25.51805556,{"type":"Point","coordinates":[-54.13333333,-25.51805556]} 
Cueva de las Manos Río Pinturas,Cultural,600,fell,1999,http://whc.unesco.org/en/list/?&delisted=1,-47.15,-70.66666667,936,56:02.8,11:51.9,1/1/1999,-70.66666667,-47.15,{"type":"Point","coordinates":[-70.66666667,-47.15]} 
Ischigualasto  Talampaya Natural Parks,Natural,275369,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,-30,-68,966,56:02.8,11:51.9,1/1/2000,-68,-30,{"type":"Point","coordinates":[-68,-30]} 
Jesuit Block and Estancias of Córdoba,Cultural,38,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,-31.42056,-64.19111,995,56:02.8,11:51.9,1/1/2000,-64.19111,-31.42056,{"type":"Point","coordinates":[-64.19111,-31.42056]} 
Quebrada de Humahuaca,Cultural,172116,fell,2003,http://whc.unesco.org/en/list/?&delisted=1,-23.19986111,-65.34886111,1116,56:02.8,11:51.9,1/1/2003,-65.34886111,-23.19986111,{"type":"Point","coordinates":[-65.34886111,-23.19986111]} 
Monasteries of Haghpat and Sanahin,Cultural,2,fell,1996,http://whc.unesco.org/en/list/?&delisted=1,41.095,44.71028,777,56:02.8,11:51.9,1/1/1996,44.71028,41.095,{"type":"Point","coordinates":[44.71028,41.095]} 
Monastery of Geghard and the Upper Azat Valley,Cultural,2,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,40.15889,44.79667,960,56:02.8,11:51.9,1/1/2000,44.79667,40.15889,{"type":"Point","coordinates":[44.79667,40.15889]} 
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cultural,74,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,40.15931,44.29514,1011,56:02.8,11:51.9,1/1/2000,44.29514,40.15931,{"type":"Point","coordinates":[44.29514,40.15931]} 
Kakadu National Park,Mixed,1980994,fell,1981,http://whc.unesco.org/en/list/?&delisted=1,-12.83333333,132.8333333,147,56:02.8,11:51.9,1/1/1981,132.8333333,-12.83333333,{"type":"Point","coordinates":[132.8333333,-12.83333333]} 
Sydney Opera House,Cultural,5,fell,2007,http://whc.unesco.org/en/list/?&delisted=1,-33.85666667,151.2152778,166,56:02.8,11:51.9,1/1/2007,151.2152778,-33.85666667,{"type":"Point","coordinates":[151.2152778,-33.85666667]} 
Willandra Lakes Region,Mixed,240000,fell,1981,http://whc.unesco.org/en/list/?&delisted=1,-34,143,167,56:02.8,11:51.9,1/1/1981,143,-34,{"type":"Point","coordinates":[143,-34]} 
Lord Howe Island Group,Natural,146300,fell,1982,http://whc.unesco.org/en/list/?&delisted=1,-31.56555556,159.0883333,186,56:02.8,11:51.9,1/1/1982,159.0883333,-31.56555556,{"type":"Point","coordinates":[159.0883333,-31.56555556]} 
Gondwana Rainforests of Australia,Natural,370000,fell,1986,http://whc.unesco.org/en/list/?&delisted=1,-28.25,150.05,368,56:02.8,11:51.9,1/1/1986,150.05,-28.25,{"type":"Point","coordinates":[150.05,-28.25]} 
UluUrUuKata TjuUtUa National Park,Mixed,132566,fell,1987,http://whc.unesco.org/en/list/?&delisted=1,-25.33333333,131,447,56:02.8,11:51.9,1/1/1987,131,-25.33333333,{"type":"Point","coordinates":[131,-25.33333333]} 
Shark Bay Western Australia,Natural,2200902,fell,1991,http://whc.unesco.org/en/list/?&delisted=1,-25.48611111,113.4361111,578,56:02.8,11:51.9,1/1/1991,113.4361111,-25.48611111,{"type":"Point","coordinates":[113.4361111,-25.48611111]} 
Fraser Island,Natural,184000,fell,1992,http://whc.unesco.org/en/list/?&delisted=1,-25.21666667,153.1333333,630,56:02.8,11:51.9,1/1/1992,153.1333333,-25.21666667,{"type":"Point","coordinates":[153.1333333,-25.21666667]} 
Australian Fossil Mammal Sites Riversleigh  Naracoorte,Natural,10300,fell,1994,http://whc.unesco.org/en/list/?&delisted=1,-19.08333333,138.7166667,698,56:02.8,11:51.9,1/1/1994,138.7166667,-19.08333333,{"type":"Point","coordinates":[138.7166667,-19.08333333]} 
Greater Blue Mountains Area,Natural,1032649,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,-33.7,150,917,56:02.8,11:51.9,1/1/2000,150,-33.7,{"type":"Point","coordinates":[150,-33.7]} 
Purnululu National Park,Natural,239723,fell,2003,http://whc.unesco.org/en/list/?&delisted=1,-17.5,128.5,1094,56:02.8,11:51.9,1/1/2003,128.5,-17.5,{"type":"Point","coordinates":[128.5,-17.5]} 
Royal Exhibition Building and Carlton Gardens,Cultural,26,fell,2004,http://whc.unesco.org/en/list/?&delisted=1,-37.80611111,144.9702778,1131,56:02.8,11:51.9,1/1/2004,144.9702778,-37.80611111,{"type":"Point","coordinates":[144.9702778,-37.80611111]} 
Australian Convict Sites,Cultural,1502,fell,2010,http://whc.unesco.org/en/list/?&delisted=1,-33.37833333,150.9944444,1306,56:02.8,11:51.9,1/1/2010,150.9944444,-33.37833333,{"type":"Point","coordinates":[150.9944444,-33.37833333]} 
Ningaloo Coast,Natural,705015,fell,2011,http://whc.unesco.org/en/list/?&delisted=1,-22.5625,113.8102778,1369,56:02.8,11:51.9,1/1/2011,113.8102778,-22.5625,{"type":"Point","coordinates":[113.8102778,-22.5625]} 
Historic Centre of the City of Salzburg,Cultural,236,fell,1996,http://whc.unesco.org/en/list/?&delisted=1,47.80055556,13.04333333,784,56:02.8,11:51.9,1/1/1996,13.04333333,47.80055556,{"type":"Point","coordinates":[13.04333333,47.80055556]} 
Semmering Railway,Cultural,156,fell,1998,http://whc.unesco.org/en/list/?&delisted=1,47.64877778,15.82797222,785,56:02.8,11:51.9,1/1/1998,15.82797222,47.64877778,{"type":"Point","coordinates":[15.82797222,47.64877778]} 
Palace and Gardens of Schönbrunn,Cultural,186,fell,1996,http://whc.unesco.org/en/list/?&delisted=1,48.18666667,16.31333333,786,56:02.8,11:51.9,1/1/1996,16.31333333,48.18666667,{"type":"Point","coordinates":[16.31333333,48.18666667]} 
HallstattDachstein  Salzkammergut Cultural Landscape,Cultural,28446,fell,1997,http://whc.unesco.org/en/list/?&delisted=1,47.55944444,13.64638889,806,56:02.8,11:51.9,1/1/1997,13.64638889,47.55944444,{"type":"Point","coordinates":[13.64638889,47.55944444]} 
City of Graz – Historic Centre and Schloss Eggenberg,Cultural,1,fell,1999,http://whc.unesco.org/en/list/?&delisted=1,47.07416667,15.39166667,931,56:02.8,11:51.9,1/1/1999,15.39166667,47.07416667,{"type":"Point","coordinates":[15.39166667,47.07416667]} 
Wachau Cultural Landscape,Cultural,18387,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,48.36444444,15.43416667,970,56:02.8,11:51.9,1/1/2000,15.43416667,48.36444444,{"type":"Point","coordinates":[15.43416667,48.36444444]} 
Historic Centre of Vienna,Cultural,371,fell,2001,http://whc.unesco.org/en/list/?&delisted=1,48.21666667,16.38333333,1033,56:02.8,11:51.9,1/1/2001,16.38333333,48.21666667,{"type":"Point","coordinates":[16.38333333,48.21666667]} 
Walled City of Baku with the Shirvanshahs Palace and Maiden Tower,Cultural,21,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,40.36666667,49.83333333,958,56:02.8,11:51.9,1/1/2000,49.83333333,40.36666667,{"type":"Point","coordinates":[49.83333333,40.36666667]} 
Gobustan Rock Art Cultural Landscape,Cultural,537,fell,2007,http://whc.unesco.org/en/list/?&delisted=1,40.125,49.375,1076,56:02.8,11:51.9,1/1/2007,49.375,40.125,{"type":"Point","coordinates":[49.375,40.125]} 
Qal’at alBahrain – Ancient Harbour and Capital of Dilmun,Cultural,70,fell,2005,http://whc.unesco.org/en/list/?&delisted=1,26.23306,50.52722222,1192,56:02.8,11:51.9,1/1/2005,50.52722222,26.23306,{"type":"Point","coordinates":[50.52722222,26.23306]} 
Pearling Testimony of an Island Economy,Cultural,35086,fell,2012,http://whc.unesco.org/en/list/?&delisted=1,26.24128,50.61351,1364,56:02.8,11:51.9,1/1/2012,50.61351,26.24128,{"type":"Point","coordinates":[50.61351,26.24128]} 
Historic Mosque City of Bagerhat,Cultural,1,fell,1985,http://whc.unesco.org/en/list/?&delisted=1,22.66667,89.8,321,56:02.8,11:51.9,1/1/1985,89.8,22.66667,{"type":"Point","coordinates":[89.8,22.66667]} 
Ruins of the Buddhist Vihara at Paharpur,Cultural,1,fell,1985,http://whc.unesco.org/en/list/?&delisted=1,25.03333333,88.98333333,322,56:02.8,11:51.9,1/1/1985,88.98333333,25.03333333,{"type":"Point","coordinates":[88.98333333,25.03333333]} 
Historic Bridgetown and its Garrison,Cultural,187,fell,2011,http://whc.unesco.org/en/list/?&delisted=1,13.09666667,-59.61388889,1376,56:02.8,11:51.9,1/1/2011,-59.61388889,13.09666667,{"type":"Point","coordinates":[-59.61388889,13.09666667]} 
Mir Castle Complex,Cultural,27,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,53.45108333,26.47272222,625,56:02.8,11:51.9,1/1/2000,26.47272222,53.45108333,{"type":"Point","coordinates":[26.47272222,53.45108333]} 
Architectural Residential and Cultural Complex of the Radziwill Family at Nesvizh,Cultural,1,fell,2005,http://whc.unesco.org/en/list/?&delisted=1,53.22278,26.69139,1196,56:02.8,11:51.9,1/1/2005,26.69139,53.22278,{"type":"Point","coordinates":[26.69139,53.22278]} 
Flemish Béguinages,Cultural,59,fell,1998,http://whc.unesco.org/en/list/?&delisted=1,51.03097222,4.47375,855,56:02.8,11:51.9,1/1/1998,4.47375,51.03097222,{"type":"Point","coordinates":[4.47375,51.03097222]} 
The Four Lifts on the Canal du Centre and their Environs La Louvière and Le Roeulx Hainaut,Cultural,67,fell,1998,http://whc.unesco.org/en/list/?&delisted=1,50.48111,4.13722,856,56:02.8,11:51.9,1/1/1998,4.13722,50.48111,{"type":"Point","coordinates":[4.13722,50.48111]} 
La GrandPlace Brussels,Cultural,1,fell,1998,http://whc.unesco.org/en/list/?&delisted=1,50.84668,4.35242,857,56:02.8,11:51.9,1/1/1998,4.35242,50.84668,{"type":"Point","coordinates":[4.35242,50.84668]} 
Historic Centre of Brugge,Cultural,410,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,51.20891,3.22527,996,56:02.8,11:51.9,1/1/2000,3.22527,51.20891,{"type":"Point","coordinates":[3.22527,51.20891]} 
Major Town Houses of the Architect Victor Horta Brussels,Cultural,1,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,50.82806,4.36223,1005,56:02.8,11:51.9,1/1/2000,4.36223,50.82806,{"type":"Point","coordinates":[4.36223,50.82806]} 
Neolithic Flint Mines at Spiennes Mons,Cultural,172,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,50.43077,3.97879,1006,56:02.8,11:51.9,1/1/2000,3.97879,50.43077,{"type":"Point","coordinates":[3.97879,50.43077]} 
NotreDame Cathedral in Tournai,Cultural,1,fell,2000,http://whc.unesco.org/en/list/?&delisted=1,50.60603,3.38926,1009,56:02.8,11:51.9,1/1/2000,3.38926,50.60603,{"type":"Point","coordinates":[3.38926,50.60603]} 
PlantinMoretus HouseWorkshopsMuseum Complex,Cultural,1,fell,2005,http://whc.unesco.org/en/list/?&delisted=1,51.21833,4.39778,1185,56:02.8,11:51.9,1/1/2005,4.39778,51.21833,{"type":"Point","coordinates":[4.39778,51.21833]} 
Stoclet House,Cultural,1,fell,2009,http://whc.unesco.org/en/list/?&delisted=1,50.835,4.416111111,1298,56:02.8,11:51.9,1/1/2009,4.416111111,50.835,{"type":"Point","coordinates":[4.416111111,50.835]} 
Major Mining Sites of Wallonia,Cultural,118,fell,2012,http://whc.unesco.org/en/list/?&delisted=1,50.43527778,3.838333333,1344,56:02.8,11:51.9,1/1/2012,3.838333333,50.43527778,{"type":"Point","coordinates":[3.838333333,50.43527778]} 
