group,date,value
1,2014-01,111.65 
1,2013-01,159.54 
1,2012-01,173.44 
1,2011-01,101.52 
1,2010-01,105.32 
1,2009-01,84.04 
1,2008-01,122.10 
2,2014-01,216.22 
2,2013-01,386.27 
2,2012-01,350.60 
2,2011-01,158.08 
2,2010-01,124.24 
2,2009-01,123.97 
2,2008-01,104.29 
3,2014-01,143.87 
3,2013-01,203.52 
3,2012-01,233.41 
3,2011-01,144.66 
3,2010-01,129.70 
3,2009-01,105.12 
3,2008-01,105.54 
4,2014-01,41.53 
4,2013-01,62.26 
4,2012-01,85.49 
4,2011-01,57.99 
4,2010-01,59.86 
4,2009-01,90.11 
4,2008-01,29.90 
5,2014-01,807.08 
5,2013-01,724.39 
5,2012-01,538.23 
5,2011-01,205.23 
5,2010-01,140.47 
5,2009-01,70.64 
5,2008-01,64.25 
6,2014-01,145.40 
6,2013-01,201.60 
6,2012-01,295.99 
6,2011-01,188.27 
6,2010-01,147.64 
6,2009-01,150.96 
6,2008-01,227.33 
