group,date,value
1,2014-01,69.09 
1,2013-01,57.23 
1,2012-01,45.93 
1,2011-01,117.99 
1,2010-01,61.11 
1,2009-01,87.32 
1,2008-01,60.21 
2,2014-01,202.70 
2,2013-01,152.23 
2,2012-01,138.78 
2,2011-01,180.25 
2,2010-01,126.28 
2,2009-01,144.08 
2,2008-01,69.93 
3,2014-01,127.67 
3,2013-01,176.14 
3,2012-01,165.18 
3,2011-01,138.23 
3,2010-01,90.23 
3,2009-01,89.09 
3,2008-01,108.71 
4,2014-01,47.12 
4,2013-01,123.20 
4,2012-01,107.74 
4,2011-01,134.63 
4,2010-01,107.59 
4,2009-01,106.03 
4,2008-01,83.55 
5,2014-01,172.45 
5,2013-01,106.88 
5,2012-01,76.14 
5,2011-01,78.66 
5,2010-01,39.47 
5,2009-01,38.45 
5,2008-01,58.89 
6,2014-01,358.78 
6,2013-01,242.21 
6,2012-01,209.74 
6,2011-01,105.09 
6,2010-01,143.88 
6,2009-01,68.56 
6,2008-01,56.37 
